parameter_id,name,location,unit,default,low,high,classification,evidence_class,source,justification,expected_direction,gsa_eligible,integer
SAN-01,sim_turnover_balance_multiple,SupervisionParameters.sim_turnover_balance_multiple,x corporate balance,1.5,0.5,3.0,STYLIZATION,reference_class,Asset-turnover ratios of listed EU non-financials cluster roughly between 0.5 and 2 (order-of-magnitude reference class from standard financial-statement analysis); No direct empirical calibration; scenario range used for sensitivity analysis.,Bridge between simulation-scale balances and the statutory turnover-based ceiling rates (Part I.1).,"Higher -> larger sanction bases -> more deterrence, possibly more greenhushing.",True,False
SAN-02,benefit_multiplier,SupervisionParameters.benefit_multiplier,x benefit,1.5,0.5,3.0,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Disgorgement-plus factor on the estimated benefit of the misleading claim.,Higher -> stronger deterrence of profitable overstatement.,True,False
SAN-03,affected_revenue_rate,SupervisionParameters.affected_revenue_rate,share/severity,0.02,0.005,0.06,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Revenue-linked component of the experimental sanction formula.,Higher -> larger penalties for high-exposure channels.,True,False
SAN-04,ordinary_penalty_cap_rate,SupervisionParameters.ordinary_penalty_cap_rate,share of sim turnover,0.01,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Ordinary simulated ceiling; the 4% consumer legal anchor and 3% CSDDD ceiling are track-gated separately. Held fixed in the campaign to keep the track-gating interpretable.,Higher -> binding less often.,False,False
SAN-05,consumer_cross_border_cap_rate,SupervisionParameters.consumer_cross_border_cap_rate,share of turnover,0.04,,,LEGAL-ANCHOR,reference_class,"Directive (EU) 2019/2161, Art. 3(6) amending UCPD Art. 13 (national maximum must be at least 4% of relevant turnover for widespread infringements), ELI: dir/2019/2161/oj","Exact in-model cap anchored to the statutory minimum maximum, available only for coordinated widespread cross-border consumer infringements; EU law does not fix 4% as a uniform ceiling.",n/a (fixed legal anchor).,False,False
SAN-06,csddd_cap_rate,SupervisionParameters.csddd_cap_rate,share of turnover,0.03,,,LEGAL,legally_mandated,Directive (EU) 2026/470 as documented in docs/EU_GREENWASHING_MODEL.md (stylized in-model legal scenario; treat all derived values as scenario law); Art. 4(19) amending CSDDD Art. 27(4),Callable only for due-diligence cases.,n/a (legal ceiling).,False,False
SAN-07,penalty_repeat_escalation_rate,constants.PENALTY_REPEAT_ESCALATION_RATE,x per repeat,0.5,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Repeat-offender escalation below the legal ceiling.,Higher -> harsher recidivism response.,False,False
CAP-01,evidence_request_capacity,SupervisionParameters.evidence_request_capacity,cases/period,20,5,40,EXPERIMENT,reference_class,EU consumer-protection authorities decide tens to a few hundred misleading-advertising cases per year against far larger claim volumes (order of magnitude from published CPC network sweeps); No direct empirical calibration; scenario range used for sensitivity analysis.,Screening capacity per reporting period.,"Higher -> more coverage, more false positives possible.",True,True
CAP-02,investigation_capacity,SupervisionParameters.investigation_capacity,investigations/period,5,1,12,EXPERIMENT,reference_class,Formal proceedings are an order of magnitude rarer than screenings (same reference class as CAP-01); No direct empirical calibration; scenario range used for sensitivity analysis.,"Formal-investigation capacity per period, shared with conflict investigations (Part J).","Higher -> shorter queues, faster decisions.",True,True
CAP-03,random_surveillance_share,SupervisionParameters.random_surveillance_share,probability,0.1,0.0,0.3,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Random-surveillance draw deterring pure risk-score gaming.,"Higher -> better coverage of low-risk-score abuse, more capacity spent on clean claims.",True,False
CAP-04,correction_window_days,SupervisionParameters.correction_window_days,days,30,10,90,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,First-time correctable errors receive this compliance window.,"Longer -> slower correction, more exposure days.",True,True
CAP-05,regulatory_strictness,Simulation(regulatory_strictness=...),index 0-1,0.55,0.0,1.0,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Perceived enforcement strictness entering the corporate communication optimizer.,Higher -> less overstatement AND more greenhushing (chilling).,True,False
CNF-01,conflict_capacity_share,SupervisionParameters.conflict_capacity_share,share,0.2,0.0,0.6,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Investigation-capacity share reserved for evidence-conflict disputes (dedicated data-dispute desk).,"Higher -> faster dispute resolution, fewer enforcement slots.",True,False
CNF-02,conflict_resolution_days,SupervisionParameters.conflict_resolution_days,days,20,5,60,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Procedural duration of one conflict investigation.,Longer -> longer exposure of disputed records.,True,True
CNF-03,conflict_priority,SupervisionParameters.conflict_priority,priority 0-1,0.85,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Transparent queue priority of conflict cases (below whistleblower/complaint/connector triggers).,Higher -> disputes open sooner.,False,False
CNF-04,conflict_reverification_timeout_days,SupervisionParameters.conflict_reverification_timeout_days,days,90,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Fallback deadline for the credibility-based resolution.,Longer -> more conflicts resolved on real re-measurements.,False,False
CNF-05,conflict_credibility_margin,SupervisionParameters.conflict_credibility_margin,confidence points,0.15,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Decisive margin of the credibility fallback.,"Higher -> more dismissals, fewer wrong resolutions.",False,False
CNF-06,source_reverification_delay_days,constants.SOURCE_REVERIFICATION_DELAY_DAYS,days,30,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Third-party re-measurement turnaround.,Longer -> slower dispute resolution.,False,False
HUB-01,hub_participation_scale,PrescreeningParameters.participation_scale,x propensity,1.0,0.2,1.5,EXPERIMENT,illustrative_scenario,Baseline uptakes (0.90/0.60/0.35 by strategy) have no empirical source; No direct empirical calibration; scenario range used for sensitivity analysis.,Scales every strategy's voluntary participation propensity.,Higher -> more drafts screened (ITT effect grows).,True,False
HUB-02,hub_strictness,PrescreeningParameters.strictness,index 0-1,0.5,0.1,0.95,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Issue-severity threshold scaling of the screening algorithm.,"Higher -> more flags, more revisions AND more withdrawals (greenhushing).",True,False
HUB-03,hub_noise,PrescreeningParameters.noise,probability,0.08,0.0,0.5,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Spurious-flag probability of the screening algorithm.,"Higher -> more burden on truthful firms, more withdrawal.",True,False
HUB-04,hub_processing_delay_days,PrescreeningParameters.processing_delay_days,days,5,0,20,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Operational review delay withholding drafts from publication.,"Longer -> later publication, larger reporting delay.",True,True
HUB-05,prescreen_max_employees,PrescreeningParameters.max_employees,employees,1000.0,,,LEGAL-ANCHOR,legally_mandated,Directive (EU) 2026/470 as documented in docs/EU_GREENWASHING_MODEL.md (stylized in-model legal scenario; treat all derived values as scenario law); Art. 29ca / recital 12 protected-undertaking line,Population the voluntary service targets; never an exemption.,n/a (scope line).,False,False
HUB-06,prescreen_uptake_honest,constants.PRESCREEN_UPTAKE_HONEST,probability,0.9,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,"Baseline voluntary uptake, honest strategy (scaled by HUB-01 in the campaign).",Higher -> larger treated share among honest firms.,False,False
CON-01,connector_coverage_scale,ConnectorParameters.coverage_scale,x coverage,1.0,0.5,1.2,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,"Scales each register's observational coverage (clamped to [0.05, 1]).","Lower -> weaker reconciliation power, more incomplete-coverage classifications.",True,False
CON-02,connector_mismatch_probability,ConnectorParameters.mismatch_probability,probability,0.02,0.0,0.1,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Wrong facility/firm matching probability per transfer.,"Higher -> more false conflicts, more dispute load.",True,False
CON-03,connector_register_error_probability,ConnectorParameters.register_error_probability,probability,0.01,0.0,0.05,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Register-error probability per transfer (correction lifecycle follows).,"Higher -> more erroneous evidence, more conflicts.",True,False
CON-04,connector_stale_probability,ConnectorParameters.stale_probability,probability,0.05,0.0,0.25,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Probability a transfer returns a genuinely old reading.,Higher -> wider comparability error bands.,True,False
CON-05,connector_downtime_probability,ConnectorParameters.downtime_probability,probability,0.01,0.0,0.1,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Per-period-and-source downtime probability.,"Higher -> fewer transfers, weaker reconciliation.",True,False
CON-06,connector_correction_delay_days,ConnectorParameters.correction_delay_days,days,60,10,120,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Register-error correction turnaround (also answers supervisory re-verification requests).,Longer -> slower conflict resolution under Regime C.,True,True
CON-07,connector_meter_relative_error,ConnectorParameters.meter_relative_error,relative sigma,0.01,,,EXPERIMENT,reference_class,Utility-grade electricity metering accuracy classes are ~0.5-2% (order-of-magnitude reference); No direct empirical calibration; scenario range used for sensitivity analysis.,Strictly positive measurement error of certified sources.,Higher -> noisier connector evidence.,False,False
CON-08,connector_cyber_incident_probability,ConnectorParameters.cyber_incident_probability,probability,0.002,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Cyber-incident probability per period and source.,Higher -> more suspensions and privacy risk.,False,False
DEM-01,consumer_preference_scale,Simulation(consumer_preference_scale=...),x preference,1.0,0.5,1.5,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Scales every segment's environmental preference.,Higher -> larger demand response to green claims and discrepancies.,True,False
DEM-02,consumer_discrepancy_sensitivity,Simulation(consumer_discrepancy_sensitivity=...),x penalty,1.0,0.25,2.5,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Scales the utility penalty of a perceived claim/evidence divergence.,Higher -> greenwashing-to-demand channel strengthens.,True,False
DEM-03,consumer_daily_budget,Simulation(consumer_daily_budget=...),EUR/day,1000.0,,,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Exogenous consumer budget injection (a numeraire; results scale with it).,Scale parameter only.,False,False
INV-01,investor_sophisticated_fraction,Simulation(investor_sophisticated_fraction=...),share,0.3,0.05,0.8,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Share of fundamentalists inspecting linked evidence.,Higher -> faster price incorporation of controversies.,True,False
INV-02,investor_controversy_scale,Simulation(investor_controversy_scale=...),x discount,1.0,0.25,2.0,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Scales the controversy discount in investor fair values.,Higher -> larger valuation response to published decisions.,True,False
WRK-01,workforce_trust_loss_rate,WorkforceState.trust_loss_rate,trust/discrepancy,0.45,0.1,1.0,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Trust lost per unit of observable internal discrepancy.,Higher -> stronger turnover/productivity response.,True,False
WRK-02,workforce_trust_recovery_rate,WorkforceState.trust_recovery_rate,trust/day,0.0015,0.0005,0.01,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Daily recovery toward the 0.85 anchor on quiet truthful days.,Higher -> faster rehabilitation after incidents.,True,False
WRK-03,workforce_base_turnover,WorkforceState.base_annual_turnover,share/yr,0.1,,,STYLIZATION,reference_class,EU labour-market annual separation rates are commonly in the 10-20% range (order-of-magnitude reference class); No direct empirical calibration; scenario range used for sensitivity analysis.,Baseline annual turnover; cap 30%.,Higher -> larger replacement-cost channel.,False,False
GHU-01,compliance_burden_scale,Simulation(compliance_burden_scale=...),x burden,1.0,0.25,2.5,STYLIZATION,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Scales the perceived compliance burden that chills voluntary truthful communication (greenhushing driver).,Higher -> more greenhushing at given strictness.,True,False
EVL-01,social_discount_rate,PolicyOutcomeEvaluator(discount_rate_annual=...),1/yr,0.03,0.0,0.07,EXPERIMENT,reference_class,"European Commission Better Regulation Toolbox (Tool #61 discounting guidance, ~3%/yr social discount rate) -- reference class, not an estimate for this model",Discounts policy costs and exposure-weighted harm for comparison; undiscounted ledgers always preserved.,Higher -> later harms/costs matter less; can flip rankings on long horizons.,True,False
EVL-02,eval_materiality_threshold,constants.EVAL_MATERIALITY_THRESHOLD,relative divergence,0.02,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Research-evaluator line for a material true overstatement.,Higher -> fewer claims counted as material.,False,False
EVL-03,eval_regulator_cost_per_conflict,constants.EVAL_REGULATOR_COST_PER_CONFLICT,EUR,250.0,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Unit cost of one conflict investigation (evaluator only).,Higher -> conflict-heavy regimes look costlier.,False,False
EVL-04,policy_score_weights,PolicyScoreWeights (5 scenarios),weights,see class,,,EXPERIMENT,illustrative_scenario,No direct empirical calibration; scenario range used for sensitivity analysis.,Composite-score weights; the campaign reports rank frequency ACROSS the five scenarios per draw instead of sampling weights continuously.,Different weights can and do change the winner (reported).,False,False
LAW-01,empowering_consumers_application,LegalRegime (2024/825 application),date,2026-09-27,,,LEGAL,legally_mandated,"Directive (EU) 2024/825 (Empowering Consumers), ELI: dir/2024/825/oj",Per-se consumer rules active from this date.,n/a.,False,False
LAW-02,csrd_scope_thresholds,LegalRegime.csrd_in_scope,EUR / employees,>450m AND >1000,,,LEGAL,legally_mandated,"Directive (EU) 2026/470 as documented in docs/EU_GREENWASHING_MODEL.md (stylized in-model legal scenario; treat all derived values as scenario law); recital 7, Art. 2(4)",Mandatory-reporting scope test (legal-scope units only; never a sanction base).,n/a.,False,False
LAW-03,ucpd_baseline,LegalRegime (UCPD track),n/a,active,,,LEGAL,legally_mandated,"Directive 2005/29/EC (UCPD), ELI: dir/2005/29/oj",General misleading-practice rules throughout.,n/a.,False,False
